experiment,mode,variant,pat_idx,eta,hamming_in,init_state,result_state,settled,settle_time,outcome,recalled_pat,correct,k_flips
seqpert_depth,depth,,2,0.0625,1,86b6,a6b6,True,4,correct,2,True,1
seqpert_depth,depth,,2,0.0625,1,a6be,a6b6,True,6,correct,2,True,1
seqpert_depth,depth,,2,0.0625,1,a2b6,a6b6,True,4,correct,2,True,1
seqpert_depth,depth,,2,0.0625,1,86b6,a6b6,True,4,correct,2,True,1
seqpert_depth,depth,,2,0.0625,1,a4b6,a6b6,True,5,correct,2,True,1
seqpert_depth,depth,,2,0.0625,1,aeb6,b6b6,False,740,oscillated,-1,False,1
seqpert_depth,depth,,2,0.0625,1,aeb6,b6b6,False,740,oscillated,-1,False,1
seqpert_depth,depth,,2,0.0625,1,e6b6,a6b6,True,11,correct,2,True,1
seqpert_depth,depth,,2,0.0625,1,e6b6,a6b6,True,11,correct,2,True,1
seqpert_depth,depth,,2,0.0625,1,a2b6,a6b6,True,4,correct,2,True,1
seqpert_depth,depth,,2,0.0625,1,a696,a6b6,True,4,correct,2,True,1
seqpert_depth,depth,,2,0.0625,1,aeb6,b6b6,False,740,oscillated,-1,False,1
seqpert_depth,depth,,2,0.0625,1,a636,a6b6,True,9,correct,2,True,1
seqpert_depth,depth,,2,0.0625,1,a6f6,a6b6,True,6,correct,2,True,1
seqpert_depth,depth,,2,0.0625,1,e6b6,a6b6,True,11,correct,2,True,1
seqpert_depth,depth,,2,0.0625,1,a7b6,a6b6,True,4,correct,2,True,1
seqpert_depth,depth,,2,0.0625,1,a2b6,a6b6,True,4,correct,2,True,1
seqpert_depth,depth,,2,0.0625,1,a6b4,a6b6,True,4,correct,2,True,1
seqpert_depth,depth,,2,0.0625,1,e6b6,a6b6,True,11,correct,2,True,1
seqpert_depth,depth,,2,0.0625,1,a6b2,a6b6,True,6,correct,2,True,1
seqpert_depth,depth,,2,0.0625,1,a2b6,a6b6,True,4,correct,2,True,1
seqpert_depth,depth,,2,0.0625,1,a6a6,a6b6,True,5,correct,2,True,1
seqpert_depth,depth,,2,0.0625,1,a696,a6b6,True,4,correct,2,True,1
seqpert_depth,depth,,2,0.0625,1,a6a6,a6b6,True,5,correct,2,True,1
seqpert_depth,depth,,2,0.0625,1,a696,a6b6,True,4,correct,2,True,1
seqpert_depth,depth,,2,0.0625,1,a6b4,a6b6,True,4,correct,2,True,1
seqpert_depth,depth,,2,0.0625,1,a7b6,a6b6,True,4,correct,2,True,1
seqpert_depth,depth,,2,0.0625,1,a636,a6b6,True,9,correct,2,True,1
seqpert_depth,depth,,2,0.0625,1,a6b7,a6b6,True,4,correct,2,True,1
seqpert_depth,depth,,2,0.0625,1,a7b6,a6b6,True,4,correct,2,True,1
seqpert_depth,depth,,2,0.0625,1,b6b6,aeb6,False,740,oscillated,-1,False,1
seqpert_depth,depth,,2,0.0625,1,a6a6,a6b6,True,5,correct,2,True,1
seqpert_depth,depth,,2,0.0625,1,26b6,a6b6,True,4,correct,2,True,1
seqpert_depth,depth,,2,0.0625,1,86b6,a6b6,True,4,correct,2,True,1
seqpert_depth,depth,,2,0.0625,1,a6b4,a6b6,True,4,correct,2,True,1
seqpert_depth,depth,,2,0.0625,1,a6be,a6b6,True,6,correct,2,True,1
seqpert_depth,depth,,2,0.0625,1,a6f6,a6b6,True,6,correct,2,True,1
seqpert_depth,depth,,2,0.0625,1,26b6,a6b6,True,4,correct,2,True,1
seqpert_depth,depth,,2,0.0625,1,a696,a6b6,True,4,correct,2,True,1
seqpert_depth,depth,,2,0.0625,1,e6b6,a6b6,True,11,correct,2,True,1
seqpert_depth,depth,,2,0.0625,1,86b6,a6b6,True,4,correct,2,True,1
seqpert_depth,depth,,2,0.0625,1,a6b2,a6b6,True,6,correct,2,True,1
seqpert_depth,depth,,2,0.0625,1,a6b2,a6b6,True,6,correct,2,True,1
seqpert_depth,depth,,2,0.0625,1,a4b6,a6b6,True,5,correct,2,True,1
seqpert_depth,depth,,2,0.0625,1,a4b6,a6b6,True,1,correct,2,True,1
seqpert_depth,depth,,2,0.0625,1,a6b2,a6b6,True,6,correct,2,True,1
seqpert_depth,depth,,2,0.0625,1,a6b2,a6b6,True,6,correct,2,True,1
seqpert_depth,depth,,2,0.0625,1,b6b6,aeb6,False,740,oscillated,-1,False,1
seqpert_depth,depth,,2,0.0625,1,a636,a6b6,True,9,correct,2,True,1
seqpert_depth,depth,,2,0.0625,1,a6f6,a6b6,True,6,correct,2,True,1
seqpert_depth,depth,,2,0.0625,1,a636,a6b6,True,9,correct,2,True,1
seqpert_depth,depth,,2,0.0625,1,a6b2,a6b6,True,6,correct,2,True,1
seqpert_depth,depth,,2,0.0625,1,aeb6,b6b6,False,740,oscillated,-1,False,1
seqpert_depth,depth,,2,0.0625,1,a6b7,a6b6,True,4,correct,2,True,1
seqpert_depth,depth,,2,0.0625,1,aeb6,b6b6,False,740,oscillated,-1,False,1
seqpert_depth,depth,,2,0.0625,1,86b6,a6b6,True,4,correct,2,True,1
seqpert_depth,depth,,2,0.0625,1,a6f6,a6b6,True,6,correct,2,True,1
seqpert_depth,depth,,2,0.0625,1,a696,a6b6,True,4,correct,2,True,1
seqpert_depth,depth,,2,0.0625,1,a7b6,a6b6,True,4,correct,2,True,1
seqpert_depth,depth,,2,0.0625,1,a636,a6b6,True,9,correct,2,True,1
seqpert_depth,depth,,2,0.0625,1,b6b6,aeb6,False,740,oscillated,-1,False,1
seqpert_depth,depth,,2,0.0625,1,a6f6,a6b6,True,6,correct,2,True,1
seqpert_depth,depth,,2,0.0625,1,a7b6,a6b6,True,4,correct,2,True,1
seqpert_depth,depth,,2,0.0625,1,e6b6,a6b6,True,11,correct,2,True,1
seqpert_depth,depth,,2,0.0625,1,26b6,a6b6,True,4,correct,2,True,1
seqpert_depth,depth,,2,0.0625,1,a636,a6b6,True,9,correct,2,True,1
seqpert_depth,depth,,2,0.0625,1,a2b6,a6b6,True,4,correct,2,True,1
seqpert_depth,depth,,2,0.0625,1,a696,a6b6,True,4,correct,2,True,1
seqpert_depth,depth,,2,0.0625,1,a6b4,a6b6,True,4,correct,2,True,1
seqpert_depth,depth,,2,0.0625,1,b6b6,aeb6,False,740,oscillated,-1,False,1
seqpert_depth,depth,,2,0.0625,1,a6b2,a6b6,True,6,correct,2,True,1
seqpert_depth,depth,,2,0.0625,1,aeb6,b6b6,False,740,oscillated,-1,False,1
seqpert_depth,depth,,2,0.0625,1,aeb6,b6b6,False,740,oscillated,-1,False,1
seqpert_depth,depth,,2,0.0625,1,a6b7,a6b6,True,4,correct,2,True,1
seqpert_depth,depth,,2,0.0625,1,a2b6,a6b6,True,4,correct,2,True,1
seqpert_depth,depth,,2,0.0625,1,a4b6,a6b6,True,5,correct,2,True,1
seqpert_depth,depth,,2,0.0625,1,a696,a6b6,True,4,correct,2,True,1
seqpert_depth,depth,,2,0.0625,1,b6b6,aeb6,False,740,oscillated,-1,False,1
seqpert_depth,depth,,3,0.0625,1,bd17,bd17,False,740,oscillated,-1,False,1
seqpert_depth,depth,,3,0.0625,1,bd47,bd07,True,6,correct,3,True,1
seqpert_depth,depth,,3,0.0625,1,bd05,bd07,True,4,correct,3,True,1
seqpert_depth,depth,,3,0.0625,1,b907,bd07,True,4,correct,3,True,1
