experiment,mode,variant,pat_idx,eta,hamming_in,init_state,result_state,settled,settle_time,outcome,recalled_pat,correct,t_even,t_odd,ratio
bifurc,even_odd,_todd24,3,0.2,0,bd07,bd07,True,0,correct,3,True,10,24,2.4
bifurc,even_odd,_todd24,3,0.2,3,9c05,1905,True,45,spurious,-1,False,10,24,2.4
bifurc,even_odd,_todd24,3,0.2,3,3d8f,bd07,True,35,correct,3,True,10,24,2.4
bifurc,even_odd,_todd24,0,0.4,4,dc34,58a4,True,45,spurious,-1,False,10,24,2.4
bifurc,even_odd,_todd24,0,0.4,6,ca87,fca6,True,59,correct,0,True,10,24,2.4
bifurc,even_odd,_todd24,0,0.4,5,7af6,fca6,True,45,correct,0,True,10,24,2.4
bifurc,even_odd,_todd24,0,0.4,3,fc37,fca6,True,59,correct,0,True,10,24,2.4
bifurc,even_odd,_todd24,0,0.4,4,d4aa,fca6,True,35,correct,0,True,10,24,2.4
bifurc,even_odd,_todd24,0,0.4,6,5d8c,58a4,True,83,spurious,-1,False,10,24,2.4
bifurc,even_odd,_todd24,0,0.4,5,b807,bd07,True,11,wrong_pattern,3,False,10,24,2.4
bifurc,even_odd,_todd24,0,0.4,9,b21f,a75b,True,11,spurious,-1,False,10,24,2.4
bifurc,even_odd,_todd24,0,0.4,5,6d82,fca6,True,45,correct,0,True,10,24,2.4
bifurc,even_odd,_todd24,0,0.4,7,b8cb,fca6,True,83,correct,0,True,10,24,2.4
bifurc,even_odd,_todd24,0,0.4,6,6e64,58a4,True,59,spurious,-1,False,10,24,2.4
bifurc,even_odd,_todd24,0,0.4,5,de8f,fca6,True,35,correct,0,True,10,24,2.4
bifurc,even_odd,_todd24,0,0.4,5,d52e,fd4b,True,69,spurious,-1,False,10,24,2.4
bifurc,even_odd,_todd24,0,0.4,8,6af3,fca6,True,45,correct,0,True,10,24,2.4
bifurc,even_odd,_todd24,0,0.4,6,9ce8,58a4,True,45,spurious,-1,False,10,24,2.4
bifurc,even_odd,_todd24,0,0.4,7,a481,a6b6,True,45,wrong_pattern,2,False,10,24,2.4
bifurc,even_odd,_todd24,0,0.4,7,ccda,fc6a,True,45,spurious,-1,False,10,24,2.4
bifurc,even_odd,_todd24,0,0.4,6,703e,fc2e,False,1636,oscillated,-1,False,10,24,2.4
bifurc,even_odd,_todd24,0,0.4,5,df66,fc23,False,1636,oscillated,-1,False,10,24,2.4
bifurc,even_odd,_todd24,0,0.4,9,4693,2b4,True,45,spurious,-1,False,10,24,2.4
bifurc,even_odd,_todd24,0,0.4,8,1f25,1b95,True,45,wrong_pattern,1,False,10,24,2.4
bifurc,even_odd,_todd24,0,0.4,8,7b2b,fd4b,True,45,spurious,-1,False,10,24,2.4
bifurc,even_odd,_todd24,0,0.4,6,64e3,fca6,True,55,correct,0,True,10,24,2.4
bifurc,even_odd,_todd24,0,0.4,3,bc8e,fca6,True,35,correct,0,True,10,24,2.4
bifurc,even_odd,_todd24,0,0.4,4,f527,bd07,True,35,wrong_pattern,3,False,10,24,2.4
bifurc,even_odd,_todd24,0,0.4,2,fca5,fca6,True,25,correct,0,True,10,24,2.4
bifurc,even_odd,_todd24,0,0.4,5,b984,fca6,True,45,correct,0,True,10,24,2.4
bifurc,even_odd,_todd24,0,0.4,9,c730,359,True,83,spurious,-1,False,10,24,2.4
bifurc,even_odd,_todd24,0,0.4,6,98e5,58a4,True,35,spurious,-1,False,10,24,2.4
bifurc,even_odd,_todd24,0,0.4,8,754c,5949,True,69,spurious,-1,False,10,24,2.4
bifurc,even_odd,_todd24,0,0.4,5,b825,fca6,True,59,correct,0,True,10,24,2.4
bifurc,even_odd,_todd24,0,0.4,7,a1e7,a6b6,True,83,wrong_pattern,2,False,10,24,2.4
bifurc,even_odd,_todd24,0,0.4,7,958a,a75b,True,85,spurious,-1,False,10,24,2.4
bifurc,even_odd,_todd24,0,0.4,9,307c,4068,True,45,spurious,-1,False,10,24,2.4
bifurc,even_odd,_todd24,0,0.4,4,d0a7,fca6,True,45,correct,0,True,10,24,2.4
bifurc,even_odd,_todd24,0,0.4,4,fe2c,fca6,True,59,correct,0,True,10,24,2.4
bifurc,even_odd,_todd24,0,0.4,5,ff16,bd07,True,35,wrong_pattern,3,False,10,24,2.4
bifurc,even_odd,_todd24,0,0.4,7,8ee,58a4,True,45,spurious,-1,False,10,24,2.4
bifurc,even_odd,_todd24,0,0.4,7,6c89,59cc,False,1636,oscillated,-1,False,10,24,2.4
bifurc,even_odd,_todd24,0,0.4,8,9a03,bf97,True,45,spurious,-1,False,10,24,2.4
bifurc,even_odd,_todd24,0,0.4,7,a828,fc6a,True,45,spurious,-1,False,10,24,2.4
bifurc,even_odd,_todd24,0,0.4,6,f44c,fd4b,True,35,spurious,-1,False,10,24,2.4
bifurc,even_odd,_todd24,0,0.4,6,5db0,58a4,True,11,spurious,-1,False,10,24,2.4
bifurc,even_odd,_todd24,0,0.4,7,1d94,58a4,True,45,spurious,-1,False,10,24,2.4
bifurc,even_odd,_todd24,0,0.4,6,a587,a797,True,55,spurious,-1,False,10,24,2.4
bifurc,even_odd,_todd24,0,0.4,11,4231,359,True,83,spurious,-1,False,10,24,2.4
bifurc,even_odd,_todd24,0,0.4,5,8cb2,fca6,True,45,correct,0,True,10,24,2.4
bifurc,even_odd,_todd24,0,0.4,6,ef67,bf97,True,89,spurious,-1,False,10,24,2.4
bifurc,even_odd,_todd24,0,0.4,6,bdcf,bd07,True,35,wrong_pattern,3,False,10,24,2.4
