experiment,mode,variant,pat_idx,eta,hamming_in,init_state,result_state,settled,settle_time,outcome,recalled_pat,correct,scheme,testset,n_classes,conflicts_G
r6_hd3,even_odd,_parity,0,0.125,2,fde6,fca6,True,11,correct,0,True,parity,hd3,2,19
r6_hd3,even_odd,_parity,0,0.125,2,fee6,fca6,True,25,correct,0,True,parity,hd3,2,19
r6_hd3,even_odd,_parity,0,0.125,2,f8e6,fca6,True,11,correct,0,True,parity,hd3,2,19
r6_hd3,even_odd,_parity,0,0.125,2,f4e6,fca6,True,25,correct,0,True,parity,hd3,2,19
r6_hd3,even_odd,_parity,0,0.125,2,ece6,fca6,True,11,correct,0,True,parity,hd3,2,19
r6_hd3,even_odd,_parity,0,0.125,2,dce6,fca6,True,25,correct,0,True,parity,hd3,2,19
r6_hd3,even_odd,_parity,0,0.125,2,bce6,fca6,True,11,correct,0,True,parity,hd3,2,19
r6_hd3,even_odd,_parity,0,0.125,2,7ce6,fca6,True,25,correct,0,True,parity,hd3,2,19
r6_hd3,even_odd,_parity,0,0.125,2,fd26,fca6,True,59,correct,0,True,parity,hd3,2,19
r6_hd3,even_odd,_parity,0,0.125,2,fe26,fca6,True,25,correct,0,True,parity,hd3,2,19
r6_hd3,even_odd,_parity,0,0.125,2,f826,fca6,True,25,correct,0,True,parity,hd3,2,19
r6_hd3,even_odd,_parity,0,0.125,2,f426,fca6,True,25,correct,0,True,parity,hd3,2,19
r6_hd3,even_odd,_parity,0,0.125,2,ec26,fca6,True,25,correct,0,True,parity,hd3,2,19
r6_hd3,even_odd,_parity,0,0.125,2,dc26,fca6,True,25,correct,0,True,parity,hd3,2,19
r6_hd3,even_odd,_parity,0,0.125,2,bc26,fca6,True,25,correct,0,True,parity,hd3,2,19
r6_hd3,even_odd,_parity,0,0.125,2,7c26,fca6,True,25,correct,0,True,parity,hd3,2,19
r6_hd3,even_odd,_parity,0,0.125,2,ffa6,fca6,True,25,correct,0,True,parity,hd3,2,19
r6_hd3,even_odd,_parity,0,0.125,2,f9a6,fca6,True,11,correct,0,True,parity,hd3,2,19
r6_hd3,even_odd,_parity,0,0.125,2,f5a6,fca6,True,25,correct,0,True,parity,hd3,2,19
r6_hd3,even_odd,_parity,0,0.125,2,eda6,fca6,True,11,correct,0,True,parity,hd3,2,19
r6_hd3,even_odd,_parity,0,0.125,2,dda6,fca6,True,25,correct,0,True,parity,hd3,2,19
r6_hd3,even_odd,_parity,0,0.125,2,bda6,fca6,True,11,correct,0,True,parity,hd3,2,19
r6_hd3,even_odd,_parity,0,0.125,2,7da6,fca6,True,25,correct,0,True,parity,hd3,2,19
r6_hd3,even_odd,_parity,0,0.125,2,faa6,fca6,True,25,correct,0,True,parity,hd3,2,19
r6_hd3,even_odd,_parity,0,0.125,2,f6a6,a6b6,True,21,wrong_pattern,2,False,parity,hd3,2,19
r6_hd3,even_odd,_parity,0,0.125,2,eea6,fca6,True,25,correct,0,True,parity,hd3,2,19
r6_hd3,even_odd,_parity,0,0.125,2,dea6,fca6,True,25,correct,0,True,parity,hd3,2,19
r6_hd3,even_odd,_parity,0,0.125,2,bea6,fca6,True,25,correct,0,True,parity,hd3,2,19
r6_hd3,even_odd,_parity,0,0.125,2,7ea6,fca6,True,25,correct,0,True,parity,hd3,2,19
r6_hd3,even_odd,_parity,0,0.125,2,f0a6,fca6,True,25,correct,0,True,parity,hd3,2,19
r6_hd3,even_odd,_parity,0,0.125,2,e8a6,fca6,True,11,correct,0,True,parity,hd3,2,19
r6_hd3,even_odd,_parity,0,0.125,2,d8a6,fca6,True,45,correct,0,True,parity,hd3,2,19
r6_hd3,even_odd,_parity,0,0.125,2,b8a6,fca6,True,11,correct,0,True,parity,hd3,2,19
r6_hd3,even_odd,_parity,0,0.125,2,78a6,fca6,True,45,correct,0,True,parity,hd3,2,19
r6_hd3,even_odd,_parity,0,0.125,2,e4a6,fca6,True,25,correct,0,True,parity,hd3,2,19
r6_hd3,even_odd,_parity,0,0.125,2,d4a6,fca6,True,25,correct,0,True,parity,hd3,2,19
r6_hd3,even_odd,_parity,0,0.125,2,b4a6,fca6,True,45,correct,0,True,parity,hd3,2,19
r6_hd3,even_odd,_parity,0,0.125,2,74a6,fca6,True,25,correct,0,True,parity,hd3,2,19
r6_hd3,even_odd,_parity,0,0.125,2,cca6,fca6,True,25,correct,0,True,parity,hd3,2,19
r6_hd3,even_odd,_parity,0,0.125,2,aca6,fca6,True,21,correct,0,True,parity,hd3,2,19
r6_hd3,even_odd,_parity,0,0.125,2,6ca6,fca6,True,25,correct,0,True,parity,hd3,2,19
r6_hd3,even_odd,_parity,0,0.125,2,9ca6,fca6,True,25,correct,0,True,parity,hd3,2,19
r6_hd3,even_odd,_parity,0,0.125,2,5ca6,58a4,True,45,spurious,-1,False,parity,hd3,2,19
r6_hd3,even_odd,_parity,0,0.125,2,3ca6,fca6,True,25,correct,0,True,parity,hd3,2,19
r6_hd3,even_odd,_parity,0,0.1875,3,fca1,fca6,True,25,correct,0,True,parity,hd3,2,19
r6_hd3,even_odd,_parity,0,0.1875,3,fcad,fca6,True,25,correct,0,True,parity,hd3,2,19
r6_hd3,even_odd,_parity,0,0.1875,3,fcb5,fca6,True,25,correct,0,True,parity,hd3,2,19
r6_hd3,even_odd,_parity,0,0.1875,3,fc85,fca6,True,35,correct,0,True,parity,hd3,2,19
r6_hd3,even_odd,_parity,0,0.1875,3,fce5,fca6,True,25,correct,0,True,parity,hd3,2,19
r6_hd3,even_odd,_parity,0,0.1875,3,fc25,fca6,True,59,correct,0,True,parity,hd3,2,19
r6_hd3,even_odd,_parity,0,0.1875,3,fda5,fca6,True,35,correct,0,True,parity,hd3,2,19
r6_hd3,even_odd,_parity,0,0.1875,3,fea5,fca6,True,25,correct,0,True,parity,hd3,2,19
