experiment,mode,variant,pat_idx,eta,hamming_in,init_state,result_state,settled,settle_time,outcome,recalled_pat,correct,src_pat,tgt_pat,step
cascade_step1,even_odd,_s1,1,0.2,2,9a95,58a4,True,69,spurious,-1,False,1.0,2.0,1
cascade_step1,even_odd,_s1,1,0.2,5,9299,3dc,False,1636,oscillated,-1,False,1.0,2.0,1
cascade_step1,even_odd,_s1,1,0.2,3,5d95,1905,True,35,spurious,-1,False,1.0,2.0,1
cascade_step1,even_odd,_s1,1,0.2,2,13b5,2b4,True,11,spurious,-1,False,1.0,2.0,1
cascade_step1,even_odd,_s1,1,0.2,3,1f96,58a4,True,69,spurious,-1,False,1.0,2.0,1
cascade_step1,even_odd,_s1,1,0.2,1,1b85,1b95,True,11,correct,1,True,1.0,2.0,1
cascade_step1,even_odd,_s1,1,0.2,2,5a95,58a4,True,35,spurious,-1,False,1.0,2.0,1
cascade_step1,even_odd,_s1,1,0.2,5,1192,2b4,True,45,spurious,-1,False,1.0,2.0,1
cascade_step1,even_odd,_s1,1,0.2,5,9615,395,True,45,spurious,-1,False,1.0,2.0,1
cascade_step1,even_odd,_s1,1,0.2,1,1b94,58a4,True,69,spurious,-1,False,1.0,2.0,1
cascade_step1,even_odd,_s1,1,0.2,4,1fd0,2b4,True,69,spurious,-1,False,1.0,2.0,1
cascade_step1,even_odd,_s1,1,0.2,2,1bbd,2b4,True,35,spurious,-1,False,1.0,2.0,1
cascade_step1,even_odd,_s1,1,0.2,4,5bbf,58a4,True,35,spurious,-1,False,1.0,2.0,1
cascade_step1,even_odd,_s1,1,0.2,1,9b95,1b95,True,25,correct,1,True,1.0,2.0,1
cascade_step1,even_odd,_s1,1,0.2,3,8b85,1b95,True,45,correct,1,True,1.0,2.0,1
cascade_step1,even_odd,_s1,1,0.2,4,b51,359,True,25,spurious,-1,False,1.0,2.0,1
cascade_step1,even_odd,_s1,1,0.2,2,1997,1905,True,45,spurious,-1,False,1.0,2.0,1
cascade_step1,even_odd,_s1,1,0.2,1,1f95,1b95,True,11,correct,1,True,1.0,2.0,1
cascade_step1,even_odd,_s1,1,0.2,4,fb1,2b4,True,35,spurious,-1,False,1.0,2.0,1
cascade_step1,even_odd,_s1,1,0.2,4,5095,58a4,True,83,spurious,-1,False,1.0,2.0,1
cascade_step1,even_odd,_s1,1,0.2,4,2915,1905,True,45,spurious,-1,False,1.0,2.0,1
