experiment,mode,variant,pat_idx,eta,hamming_in,init_state,result_state,settled,settle_time,outcome,recalled_pat,correct,scheme,category,testset,delays,conflicts_G
r7_hd3,coloring,_all_equal,2,0.1875,3,aebc,a6b6,True,41,correct,2,True,all_equal,colour+nosep,hd3,"[20, 20, 20, 20, 20, 20]",0
r7_hd3,coloring,_all_equal,2,0.1875,3,b6bc,a6b6,True,41,correct,2,True,all_equal,colour+nosep,hd3,"[20, 20, 20, 20, 20, 20]",0
r7_hd3,coloring,_all_equal,2,0.1875,3,86bc,86b4,False,1380,oscillated,-1,False,all_equal,colour+nosep,hd3,"[20, 20, 20, 20, 20, 20]",0
r7_hd3,coloring,_all_equal,2,0.1875,3,e6bc,e6be,False,1380,oscillated,-1,False,all_equal,colour+nosep,hd3,"[20, 20, 20, 20, 20, 20]",0
r7_hd3,coloring,_all_equal,2,0.1875,3,26bc,26b4,False,1380,oscillated,-1,False,all_equal,colour+nosep,hd3,"[20, 20, 20, 20, 20, 20]",0
r7_hd3,coloring,_all_equal,2,0.1875,3,a684,a6b6,True,21,correct,2,True,all_equal,colour+nosep,hd3,"[20, 20, 20, 20, 20, 20]",0
r7_hd3,coloring,_all_equal,2,0.1875,3,a6e4,a6b6,True,41,correct,2,True,all_equal,colour+nosep,hd3,"[20, 20, 20, 20, 20, 20]",0
r7_hd3,coloring,_all_equal,2,0.1875,3,a624,a6b6,True,21,correct,2,True,all_equal,colour+nosep,hd3,"[20, 20, 20, 20, 20, 20]",0
r7_hd3,coloring,_all_equal,2,0.1875,3,a7a4,a6b6,True,21,correct,2,True,all_equal,colour+nosep,hd3,"[20, 20, 20, 20, 20, 20]",0
r7_hd3,coloring,_all_equal,2,0.1875,3,a4a4,fca6,True,41,wrong_pattern,0,False,all_equal,colour+nosep,hd3,"[20, 20, 20, 20, 20, 20]",0
r7_hd3,coloring,_all_equal,2,0.1875,3,a2a4,a2b4,False,1380,oscillated,-1,False,all_equal,colour+nosep,hd3,"[20, 20, 20, 20, 20, 20]",0
r7_hd3,coloring,_all_equal,2,0.1875,3,aea4,aeb6,False,1380,oscillated,-1,False,all_equal,colour+nosep,hd3,"[20, 20, 20, 20, 20, 20]",0
r7_hd3,coloring,_all_equal,2,0.1875,3,b6a4,b6b6,False,1380,oscillated,-1,False,all_equal,colour+nosep,hd3,"[20, 20, 20, 20, 20, 20]",0
r7_hd3,coloring,_all_equal,2,0.1875,3,86a4,86b4,False,1380,oscillated,-1,False,all_equal,colour+nosep,hd3,"[20, 20, 20, 20, 20, 20]",0
r7_hd3,coloring,_all_equal,2,0.1875,3,e6a4,fca6,True,41,wrong_pattern,0,False,all_equal,colour+nosep,hd3,"[20, 20, 20, 20, 20, 20]",0
r7_hd3,coloring,_all_equal,2,0.1875,3,26a4,26b4,False,1380,oscillated,-1,False,all_equal,colour+nosep,hd3,"[20, 20, 20, 20, 20, 20]",0
r7_hd3,coloring,_all_equal,2,0.1875,3,a6d4,a6b6,True,21,correct,2,True,all_equal,colour+nosep,hd3,"[20, 20, 20, 20, 20, 20]",0
r7_hd3,coloring,_all_equal,2,0.1875,3,a614,a6b6,True,61,correct,2,True,all_equal,colour+nosep,hd3,"[20, 20, 20, 20, 20, 20]",0
r7_hd3,coloring,_all_equal,2,0.1875,3,a794,a6b6,True,41,correct,2,True,all_equal,colour+nosep,hd3,"[20, 20, 20, 20, 20, 20]",0
r7_hd3,coloring,_all_equal,2,0.1875,3,a494,a6b6,True,21,correct,2,True,all_equal,colour+nosep,hd3,"[20, 20, 20, 20, 20, 20]",0
r7_hd3,coloring,_all_equal,2,0.1875,3,a294,a2b4,False,1380,oscillated,-1,False,all_equal,colour+nosep,hd3,"[20, 20, 20, 20, 20, 20]",0
