experiment,mode,variant,pat_idx,eta,hamming_in,init_state,result_state,settled,settle_time,outcome,recalled_pat,correct,scheme,timeout_mult
r6b_colour6_x1,coloring,_colour6_x1,2,-1.0,3,f6b2,b6a6,False,1956,oscillated,-1,False,colour6,1
r6b_colour6_x1,coloring,_colour6_x1,2,-1.0,3,f6b4,b6b6,False,1956,oscillated,-1,False,colour6,1
r6b_colour6_x1,coloring,_colour6_x1,2,-1.0,2,f6b6,b6b6,False,1956,oscillated,-1,False,colour6,1
r6b_colour6_x1,coloring,_colour6_x1,2,-1.0,3,f6b7,b6b6,False,1956,oscillated,-1,False,colour6,1
r6b_colour6_x1,coloring,_colour6_x1,2,-1.0,3,f7b6,b6b6,False,1956,oscillated,-1,False,colour6,1
r6b_colour6_x4,coloring,_colour6_x4,3,-1.0,6,d4d,5149,False,7524,oscillated,-1,False,colour6,4
r6b_colour6_x4,coloring,_colour6_x4,1,-1.0,3,1194,ab4,False,7524,oscillated,-1,False,colour6,4
r6b_colour6_x4,coloring,_colour6_x4,1,-1.0,3,11b5,ab4,False,7524,oscillated,-1,False,colour6,4
r6b_colour6_x4,coloring,_colour6_x4,1,-1.0,3,1285,ab4,False,7524,oscillated,-1,False,colour6,4
r6b_colour6_x4,coloring,_colour6_x4,1,-1.0,4,1287,ab4,False,7524,oscillated,-1,False,colour6,4
r6b_colour6_x4,coloring,_colour6_x4,1,-1.0,3,1294,ab4,False,7524,oscillated,-1,False,colour6,4
r6b_colour6_x4,coloring,_colour6_x4,1,-1.0,2,1295,ab4,False,7524,oscillated,-1,False,colour6,4
r6b_colour6_x4,coloring,_colour6_x4,1,-1.0,3,1297,ab4,False,7524,oscillated,-1,False,colour6,4
r6b_colour6_x4,coloring,_colour6_x4,1,-1.0,3,12b5,ab4,False,7524,oscillated,-1,False,colour6,4
r6b_colour6_x4,coloring,_colour6_x4,1,-1.0,3,1384,ab4,False,7524,oscillated,-1,False,colour6,4
r6b_colour6_x4,coloring,_colour6_x4,1,-1.0,2,1394,ab4,False,7524,oscillated,-1,False,colour6,4
r6b_colour6_x4,coloring,_colour6_x4,1,-1.0,3,1396,ab4,False,7524,oscillated,-1,False,colour6,4
r6b_colour6_x4,coloring,_colour6_x4,1,-1.0,3,13a5,ab4,False,7524,oscillated,-1,False,colour6,4
r6b_colour6_x4,coloring,_colour6_x4,1,-1.0,3,13b4,ab4,False,7524,oscillated,-1,False,colour6,4
r6b_colour6_x4,coloring,_colour6_x4,1,-1.0,2,13b5,ab4,False,7524,oscillated,-1,False,colour6,4
r6b_colour6_x4,coloring,_colour6_x4,1,-1.0,3,13b7,ab4,False,7524,oscillated,-1,False,colour6,4
r6b_colour6_x4,coloring,_colour6_x4,2,-1.0,5,15b6,ab4,False,7524,oscillated,-1,False,colour6,4
