experiment,mode,variant,pat_idx,eta,hamming_in,init_state,result_state,settled,settle_time,outcome,recalled_pat,correct,source_fp,flip_bit,is_stored
attstab_depth,depth,,1,0.3125,5,351,359,True,6,spurious,-1,False,0359,3,False
attstab_depth,depth,,1,0.4375,7,349,359,True,5,spurious,-1,False,0359,4,False
attstab_depth,depth,,1,0.4375,7,379,359,True,4,spurious,-1,False,0359,5,False
attstab_depth,depth,,1,0.3125,5,319,359,True,6,spurious,-1,False,0359,6,False
attstab_depth,depth,,1,0.3125,5,3d9,359,True,9,spurious,-1,False,0359,7,False
attstab_depth,depth,,1,0.4375,7,259,359,True,4,spurious,-1,False,0359,8,False
attstab_depth,depth,,1,0.4375,7,159,359,True,5,spurious,-1,False,0359,9,False
attstab_depth,depth,,1,0.4375,7,759,359,True,4,spurious,-1,False,0359,10,False
attstab_depth,depth,,1,0.3125,5,b59,359,True,7,spurious,-1,False,0359,11,False
attstab_depth,depth,,1,0.3125,5,1359,359,True,7,spurious,-1,False,0359,12,False
attstab_depth,depth,,1,0.4375,7,2359,359,True,4,spurious,-1,False,0359,13,False
attstab_depth,depth,,1,0.4375,7,4359,359,True,11,spurious,-1,False,0359,14,False
attstab_depth,depth,,1,0.4375,7,8359,359,True,4,spurious,-1,False,0359,15,False
attstab_depth,depth,,2,0.375,6,a75a,a75b,True,4,spurious,-1,False,a75b,0,False
attstab_depth,depth,,2,0.5,8,a759,a75b,True,4,spurious,-1,False,a75b,1,False
attstab_depth,depth,,2,0.375,6,a75f,a75b,True,6,spurious,-1,False,a75b,2,False
attstab_depth,depth,,2,0.375,6,a753,a75b,True,6,spurious,-1,False,a75b,3,False
attstab_depth,depth,,2,0.5,8,a74b,a75b,True,5,spurious,-1,False,a75b,4,False
attstab_depth,depth,,2,0.375,6,a77b,a75b,True,4,spurious,-1,False,a75b,5,False
attstab_depth,depth,,2,0.375,6,a71b,a75b,True,6,spurious,-1,False,a75b,6,False
attstab_depth,depth,,2,0.375,6,a7db,a75b,True,9,spurious,-1,False,a75b,7,False
attstab_depth,depth,,2,0.375,6,a65b,a75b,True,4,spurious,-1,False,a75b,8,False
attstab_depth,depth,,2,0.5,8,a55b,a75b,True,5,spurious,-1,False,a75b,9,False
attstab_depth,depth,,2,0.5,8,a35b,a75b,True,4,spurious,-1,False,a75b,10,False
attstab_depth,depth,,2,0.5,8,af5b,a75b,True,7,spurious,-1,False,a75b,11,False
attstab_depth,depth,,2,0.5,8,b75b,a75b,True,7,spurious,-1,False,a75b,12,False
attstab_depth,depth,,2,0.5,8,875b,a75b,True,4,spurious,-1,False,a75b,13,False
attstab_depth,depth,,2,0.5,8,e75b,a75b,True,11,spurious,-1,False,a75b,14,False
attstab_depth,depth,,2,0.5,8,275b,a75b,True,4,spurious,-1,False,a75b,15,False
attstab_depth,depth,,0,0.6875,11,4069,359,True,21,spurious,-1,False,4068,0,False
attstab_depth,depth,,0,0.5625,9,406a,4068,True,4,spurious,-1,False,4068,1,False
attstab_depth,depth,,0,0.5625,9,406c,4068,True,6,spurious,-1,False,4068,2,False
attstab_depth,depth,,0,0.5625,9,4060,4068,True,6,spurious,-1,False,4068,3,False
attstab_depth,depth,,0,0.6875,11,4078,40f8,False,740,oscillated,-1,False,4068,4,False
attstab_depth,depth,,0,0.6875,11,4048,359,True,21,spurious,-1,False,4068,5,False
attstab_depth,depth,,0,0.5625,9,4028,4068,True,6,spurious,-1,False,4068,6,False
attstab_depth,depth,,0,0.5625,9,40e8,4068,True,9,spurious,-1,False,4068,7,False
attstab_depth,depth,,0,0.6875,11,4168,359,True,21,spurious,-1,False,4068,8,False
attstab_depth,depth,,0,0.6875,11,4268,42e8,False,740,oscillated,-1,False,4068,9,False
attstab_depth,depth,,0,0.5625,9,4468,4068,True,4,spurious,-1,False,4068,10,False
attstab_depth,depth,,0,0.5625,9,4868,5068,False,740,oscillated,-1,False,4068,11,False
attstab_depth,depth,,0,0.5625,9,5068,4868,False,740,oscillated,-1,False,4068,12,False
attstab_depth,depth,,0,0.5625,9,6068,4068,True,4,spurious,-1,False,4068,13,False
attstab_depth,depth,,0,0.6875,11,68,42f8,True,13,spurious,-1,False,4068,14,False
attstab_depth,depth,,0,0.5625,9,c068,4068,True,4,spurious,-1,False,4068,15,False
attstab_depth,depth,,0,0.5625,9,5869,5949,True,7,spurious,-1,False,5868,0,False
attstab_depth,depth,,0,0.4375,7,586a,5868,True,4,spurious,-1,False,5868,1,False
attstab_depth,depth,,0,0.4375,7,586c,5868,True,6,spurious,-1,False,5868,2,False
attstab_depth,depth,,0,0.4375,7,5860,5868,True,6,spurious,-1,False,5868,3,False
attstab_depth,depth,,0,0.5625,9,5878,5868,True,5,spurious,-1,False,5868,4,False
attstab_depth,depth,,0,0.5625,9,5848,5949,True,7,spurious,-1,False,5868,5,False
attstab_depth,depth,,0,0.4375,7,5828,5868,True,6,spurious,-1,False,5868,6,False
attstab_depth,depth,,0,0.4375,7,58e8,5868,True,9,spurious,-1,False,5868,7,False
attstab_depth,depth,,0,0.5625,9,5968,5949,True,7,spurious,-1,False,5868,8,False
attstab_depth,depth,,0,0.5625,9,5a68,5868,True,5,spurious,-1,False,5868,9,False
attstab_depth,depth,,0,0.4375,7,5c68,5868,True,4,spurious,-1,False,5868,10,False
attstab_depth,depth,,0,0.5625,9,5068,4868,False,740,oscillated,-1,False,5868,11,False
attstab_depth,depth,,0,0.5625,9,4868,5068,False,740,oscillated,-1,False,5868,12,False
attstab_depth,depth,,0,0.4375,7,7868,5868,True,4,spurious,-1,False,5868,13,False
attstab_depth,depth,,0,0.5625,9,1868,5868,True,11,spurious,-1,False,5868,14,False
attstab_depth,depth,,0,0.4375,7,d868,5868,True,4,spurious,-1,False,5868,15,False
attstab_depth,depth,,0,0.4375,7,e46b,a75b,True,21,spurious,-1,False,e46a,0,False
attstab_depth,depth,,0,0.4375,7,e468,e46a,True,4,spurious,-1,False,e46a,1,False
attstab_depth,depth,,0,0.3125,5,e46e,e46a,True,6,spurious,-1,False,e46a,2,False
attstab_depth,depth,,0,0.3125,5,e462,e46a,True,6,spurious,-1,False,e46a,3,False
attstab_depth,depth,,0,0.4375,7,e47a,e4fa,False,740,oscillated,-1,False,e46a,4,False
attstab_depth,depth,,0,0.4375,7,e44a,a75b,True,21,spurious,-1,False,e46a,5,False
attstab_depth,depth,,0,0.3125,5,e42a,e46a,True,6,spurious,-1,False,e46a,6,False
attstab_depth,depth,,0,0.3125,5,e4ea,e46a,True,9,spurious,-1,False,e46a,7,False
attstab_depth,depth,,0,0.4375,7,e56a,a75b,True,21,spurious,-1,False,e46a,8,False
attstab_depth,depth,,0,0.4375,7,e66a,e6ea,False,740,oscillated,-1,False,e46a,9,False
attstab_depth,depth,,0,0.4375,7,e06a,e46a,True,4,spurious,-1,False,e46a,10,False
attstab_depth,depth,,0,0.3125,5,ec6a,f46a,False,740,oscillated,-1,False,e46a,11,False
attstab_depth,depth,,0,0.3125,5,f46a,ec6a,False,740,oscillated,-1,False,e46a,12,False
attstab_depth,depth,,0,0.4375,7,c46a,e46a,True,4,spurious,-1,False,e46a,13,False
attstab_depth,depth,,0,0.4375,7,a46a,e6fa,True,13,spurious,-1,False,e46a,14,False
attstab_depth,depth,,0,0.4375,7,646a,e46a,True,4,spurious,-1,False,e46a,15,False
attstab_depth,depth,,0,0.3125,5,fc6b,fd4b,True,7,spurious,-1,False,fc6a,0,False
attstab_depth,depth,,0,0.3125,5,fc68,fc6a,True,4,spurious,-1,False,fc6a,1,False
attstab_depth,depth,,0,0.1875,3,fc6e,fc6a,True,6,spurious,-1,False,fc6a,2,False
attstab_depth,depth,,0,0.1875,3,fc62,fc6a,True,6,spurious,-1,False,fc6a,3,False
attstab_depth,depth,,0,0.3125,5,fc7a,fc6a,True,5,spurious,-1,False,fc6a,4,False
attstab_depth,depth,,0,0.3125,5,fc4a,fd4b,True,7,spurious,-1,False,fc6a,5,False
attstab_depth,depth,,0,0.1875,3,fc2a,fc6a,True,6,spurious,-1,False,fc6a,6,False
attstab_depth,depth,,0,0.1875,3,fcea,fc6a,True,9,spurious,-1,False,fc6a,7,False
attstab_depth,depth,,0,0.3125,5,fd6a,fd4b,True,7,spurious,-1,False,fc6a,8,False
attstab_depth,depth,,0,0.3125,5,fe6a,fc6a,True,5,spurious,-1,False,fc6a,9,False
attstab_depth,depth,,0,0.3125,5,f86a,fc6a,True,4,spurious,-1,False,fc6a,10,False
attstab_depth,depth,,0,0.3125,5,f46a,ec6a,False,740,oscillated,-1,False,fc6a,11,False
attstab_depth,depth,,0,0.3125,5,ec6a,f46a,False,740,oscillated,-1,False,fc6a,12,False
attstab_depth,depth,,0,0.3125,5,dc6a,fc6a,True,4,spurious,-1,False,fc6a,13,False
attstab_depth,depth,,0,0.3125,5,bc6a,fc6a,True,11,spurious,-1,False,fc6a,14,False
attstab_depth,depth,,0,0.3125,5,7c6a,fc6a,True,4,spurious,-1,False,fc6a,15,False
attstab_depth,depth,,2,0.5625,9,42f9,42f8,True,4,spurious,-1,False,42f8,0,False
attstab_depth,depth,,2,0.4375,7,42fa,42f8,True,4,spurious,-1,False,42f8,1,False
attstab_depth,depth,,2,0.4375,7,42fc,42f8,True,6,spurious,-1,False,42f8,2,False
